benchmark,nanos,unixts.after,unixts.before
dec-tree,3864832607,1587025293046,1587025289181
dec-tree,3874193992,1587025296921,1587025293046
dec-tree,3981775584,1587025300902,1587025296921
dec-tree,4262453314,1587025305165,1587025300903
reactors,31504581483,1587027803643,1587027772138
reactors,21897331432,1587027825540,1587027803643
reactors,22303872509,1587027847844,1587027825540
reactors,21071148870,1587027868915,1587027847844
reactors,22032693494,1587027890948,1587027868915
reactors,24517571293,1587027915466,1587027890948
reactors,21640835646,1587027937107,1587027915466
reactors,17038528043,1587027954145,1587027937107
reactors,22616078856,1587027976762,1587027954146
reactors,23209297777,1587027999971,1587027976762
par-mnemonics,7258025769,1587027565485,1587027558226
par-mnemonics,7076794933,1587027572842,1587027565765
par-mnemonics,7920484812,1587027581022,1587027573101
par-mnemonics,6929886043,1587027588253,1587027581323
par-mnemonics,6945641965,1587027595459,1587027588513
par-mnemonics,7837442686,1587027603555,1587027595718
par-mnemonics,7017924174,1587027610832,1587027603814
par-mnemonics,6944076332,1587027618035,1587027611091
par-mnemonics,6927629094,1587027625223,1587027618296
par-mnemonics,6980531743,1587027632462,1587027625481
par-mnemonics,6919878418,1587027639641,1587027632721
par-mnemonics,6941221451,1587027646840,1587027639899
par-mnemonics,6996843769,1587027654097,1587027647100
par-mnemonics,6950893762,1587027661308,1587027654357
par-mnemonics,6995083537,1587027668563,1587027661568
par-mnemonics,6983406476,1587027675805,1587027668821
scala-kmeans,904777716,1587028260711,1587028259806
scala-kmeans,694873610,1587028261409,1587028260714
scala-kmeans,690886121,1587028262101,1587028261410
scala-kmeans,689726579,1587028262791,1587028262101
scala-kmeans,689435257,1587028263481,1587028262792
scala-kmeans,686606619,1587028264168,1587028263482
scala-kmeans,687702556,1587028264856,1587028264169
scala-kmeans,691272760,1587028265548,1587028264857
scala-kmeans,690945125,1587028266239,1587028265548
scala-kmeans,691830882,1587028266932,1587028266240
scala-kmeans,691801383,1587028267624,1587028266932
scala-kmeans,693366303,1587028268317,1587028267624
scala-kmeans,687913470,1587028269006,1587028268318
scala-kmeans,721711550,1587028269728,1587028269006
scala-kmeans,669704784,1587028270398,1587028269728
scala-kmeans,668941470,1587028271067,1587028270398
scala-kmeans,671009343,1587028271739,1587028271068
scala-kmeans,675286893,1587028272414,1587028271739
scala-kmeans,672430892,1587028273087,1587028272415
scala-kmeans,672062630,1587028273760,1587028273088
scala-kmeans,672191414,1587028274432,1587028273760
scala-kmeans,682595964,1587028275115,1587028274432
scala-kmeans,675190732,1587028275791,1587028275116
scala-kmeans,669506091,1587028276461,1587028275791
scala-kmeans,671959530,1587028277133,1587028276461
scala-kmeans,677399821,1587028277811,1587028277133
scala-kmeans,668763936,1587028278480,1587028277811
scala-kmeans,715434006,1587028279196,1587028278480
scala-kmeans,679860816,1587028279876,1587028279196
scala-kmeans,679058244,1587028280555,1587028279876
scala-kmeans,677986452,1587028281234,1587028280556
scala-kmeans,676435972,1587028281910,1587028281234
scala-kmeans,675531596,1587028282586,1587028281911
scala-kmeans,683740620,1587028283270,1587028282587
scala-kmeans,686871033,1587028283958,1587028283271
scala-kmeans,685354139,1587028284643,1587028283958
scala-kmeans,683057134,1587028285327,1587028284644
